index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen
1,2009,Estudio de sobretensiones por maniobra debido a energización de bancos de condensadores y transformadores en líneas de transmisión de 115kV,"De Gregorio S., Luis T.",6.77 MB,http://saber.ucv.ve/handle/10872/17712,http://saber.ucv.ve/bitstream/10872/17712/1/TESIS%20DE%20GRADO%20LUIS%20DE%20GREGORIO.pdf,"Se realiza un estudio de sobretensiones por maniobra dirigido hacia la
simulación, determinación y análisis de las perturbaciones posibles en las líneas de
transmisión en 115kV comprendidas en la ampliación del sistema de transmisión
Palital-Barrancas-Tucupita debido a las maniobras de apertura y cierre de bancos de
condensadores, energización de transformadores y líneas de transmisión. Dicho
estudio comprende la descripción de una metodología para la selección de modelos
adecuados que representen según el fenómeno transitorio a simular, los elementos de
interés del sistema eléctrico de potencia bajo estudio. Posteriormente de acuerdo a los
resultados obtenidos que resalten las condiciones más desfavorables sobre el sistema
según las maniobras realizadas y las normas internacionales de referencia empleadas
en el presente estudio, se describen las conclusiones y recomendaciones pertinentes
que eviten esfuerzos adicionales en la normal operación de bancos de condensadores,
transformadores, interruptores y pararrayos dentro de las S/E's Barrancas, Tucupita y
la actuación indebida de las protecciones en las mismas. Por último se realiza la
elaboración de un instructivo básico del uso del módulo EMT del programa
DIgSILENT Power Factory y se establece una comparación señalando las posibles
ventajas y limitaciones de éste con el programa ATP, los cuales fueron empleados
para llevar a cabo el desarrollo del presente estudio."
2,2010,La Economía del Ocio como una alternativa de economía normativa para contribuir al Desarrollo Sustentable,"Rivera, Elizabeth",2 MB,http://saber.ucv.ve/handle/10872/16245,http://saber.ucv.ve/bitstream/10872/16245/1/TG-EE%20-%20copia.pdf,
3,27-May-2011,Estudio de la influencia de las condiciones de preparación de catalizadores de ru/zeolita-y y ru/ al2 o3 en reacciones de hidrotratamiento,"Fernández, Fernando J.",1.78 MB,http://saber.ucv.ve/handle/10872/33,http://saber.ucv.ve/bitstream/10872/33/1/tesis%20%20%20fin%20ii.pdf,"En la industria de la refinación de petróleo, el proceso de hidrotratamiento es uno de los mas utilizados para mejorar la calidad de las fracciones de crudos cuyos contenido de S, N y aromáticos son elevados, no pudiendo ser estos utilizados en refinerías convencionales sin antes ser tratados. Estos procesos cada vez tienen que ser mejorados debido al agotamiento de las reservas de petróleo liviano que ha obligado a la utilización de petróleo pesado cuyo contenido de estos elementos son mayores, y a las regulaciones ambientales cada vez mas estrictas que limitan el contenido de estos elementos en las fracciones de petróleo, debido a la emisión de gases contaminantes provenientes de la combustión de los mismos. Una manera de mejorar el proceso es la búsqueda de catalizadores mas eficientes. El presente trabajo es realizado con la finalidad de conseguir catalizadores más eficientes mediante, estudiando la influencia del contenido de metal, la atmósfera de sulfuración y la temperatura de calcinación de los catalizadores de Ru/Al2O3 y Ru/zeolita-Y. Para ello se evaluaron estos sólidos en reacciones de hidrogenación de tolueno e hidrodesulfuración de tiofeno."
4,27-May-2011,"Diseño de estrategias para optimizar la calidad de los servicios de la Biblioteca Marcel Roche del Instituto Venezolano de Investigaciones Científicas (IVIC), 2006.","Echezuria Perozo, Jorge E.; Rondon, María C.; Gutierrez Luna, Melany",3.02 MB,http://saber.ucv.ve/handle/10872/28,http://saber.ucv.ve/bitstream/10872/28/1/TL-EBA_jun2006_E2.pdf,"Con el objetivo de diseñar estrategias para la mejora de la calidad de los servicios de la Biblioteca Marcel Roche (BMR) del Instituto Venezolano de Investigaciones Científicas (IVIC), en este trabajo se estudian los orígenes, la evolución y los principales autores de la calidad, además de los componentes y principios básicos de la Gestión de la Calidad Total o Total Quality Management (TQM) como filosofía organizacional. De igual manera se analiza la naturaleza, evolución, características y la importancia actual de los servicios, tanto en las industrias manufactureras como en las industrias de servicios en sí. Teniendo como base estos conceptos, se define la calidad en los servicios como un factor determinante en el progreso de las organizaciones, debido a que las exigencias de los consumidores o usuarios son cada vez mayores, pues no sólo evalúan el producto final sino todos los procesos que se realizan para llegar éste. Así mismo, se hace referencia a la incorporación de la filosofía de la calidad del servicio en el ámbito bibliotecario y se estudian las nociones del mercadeo y del planeamiento estratégico como la concreción de la gerencia hacia la calidad. Para determinar los factores que afectan la calidad del servicio se combinaron elementos de la investigación cuantitativa y cualitativa, utilizando las técnicas de observación directa, cuestionarios y entrevistas de grupo focal, siendo esta última la mayor proveedora de información real e instantánea, ayudando a identificar las necesidades y expectativas de los usuarios así como la percepción de los empleados de la BMR. Las conversaciones con ambas audiencias permitieron no sólo conocer sus posiciones frente a cada pregunta sino también observar sus reacciones ante éstas, proporcionando un valor adicional en la interpretación de sus respuestas al ayudar a identificar los vínculos emocionales asociados a la prestación y uso de los servicios. Por último, a raíz de los resultados obtenidos en el estudio de los factores que influyen en la prestación de los servicios en la BMR se definieron nueve áreas de aplicación para las cuales se diseñaron estrategias y acciones específicas. Estas áreas son: personal, organización, desarrollo de colecciones, recuperación de información, reproducción de documentos, formación de usuarios, infraestructura física y plataforma tecnológica, sistema automatizado de gestión bibliotecaria, y mercadeo. Tutor académico: Prof. Carlos Ortuño                  Abstract: As to design new strategies for the quality improvement of all services offered by the Marcel Roche Library (MRL) of the Venezuelan Institute of Scientific Investigations (IVIC) this work studies the beginnings and evolution of quality management improvement reviewing some of the studies presented by some of the most outstanding authors in this subject as well as analyzing the basic components and principles of the total quality management (TQM). This document also focuses on the analysis of the nature, evolution, characteristics and importance of current services inside the manufacturing industries as well as service industries itself. Having these concepts in mind, service quality can be defined as a mayor factor in the progress of all corporations due to the increasing demands and expectation of costumers nowadays, they no longer evaluate quality as the final product but as the result of all processes involved in the delivering of the final product. This paper also refers to the incorporation of the philosophy of quality services into the library scope, and marketing and strategic planning notions are studied as the concretion of management towards quality. To determine the factors which affect service quality, elements of quantitative and qualitative investigations were used, employing direct observation, questionnaires and focal group interviews techniques, being the latter the mayor provider of real and instant information, which helped us identify the needs and expectations of users as well as the perception of employees of MRL. Conversations with both audiences allowed us not only to know their answers to each question but also to observe their reactions towards them, adding value to the interpretation of these answers by helping us identify emotional ties associated to the offering and use of services. At last, as a consequence of the results obtained in this study of factors which influence the offering of services at MRL, nine application areas were defined for which specific strategies and actions were designed. Such areas are: personnel, organization, collection development, information recovery, documents reproduction, users education, physical infrastructure and technological platform, automated system of library management and marketing. Academic tutor: Prof. Calos Ortuño"
5,27-May-2011,Desarrollo de un algoritmo computacional para determinar el efecto de la deposición de parafina sobre el gradiente de presión de flujo multifásico en tuberías,"D'Amico, Walter F.",506.32 kB,http://saber.ucv.ve/handle/10872/32,http://saber.ucv.ve/bitstream/10872/32/1/Tesis%20de%20Grado%20de%20Walter%20D%27Amico.PDF,"Se desarrolló un algoritmo computacional para predecir la tasa de
deposición de parafina utilizando los modelos de A.A. Hamouda (1992) y J.J.C. Hsu
(1995), que permite calcular el espesor de parafina formado en la pared de la tubería
bajo un esquema Black-Oil (sin necesidad de tomar en cuenta el equilibrio de fases).
Ambos fueron desarrollados bajo una base experimental.
El algoritmo determina los perfiles axiales de temperatura y presión en la
tubería para flujo multifásico y monofásico, además de ubicar la zona donde ocurre la
máxima deposición. Esto permite conocer con antelación las condiciones
operacionales bajo las cuales ocurre precipitación de parafina en la pared de la
tubería, permitiendo tomar las acciones más apropiadas con el propósito de disminuir
o inhibir las consecuencias negativas de la deposición de parafina."
6,27-May-2011,"Evaluación geofísica integral de los conos aluviales en Macuto, Caraballeda y Tanaguarenas","Cragno, Analia V.; Romero, Marcos A.",3.02 MB,http://saber.ucv.ve/handle/10872/31,http://saber.ucv.ve/bitstream/10872/31/1/Evaluaci%c3%b3n%20Geof%c3%adsica%20Integral_noPW.pdf,"A raíz de los desastres ocurridos el mes de diciembre de 1999 en el Estado Vargas y dada la
elevada amenaza sísmica de la zona, la cual fue evidenciada con los daños ocurridos en el
sismo de Caracas de 1967, es necesario realizar estudios con los cuales se conozcan las
características del subsuelo, como por ejemplo: espesores de sedimentos, distribución de las
capas, períodos fundamentales, parámetros elásticos del suelo entre otros; los cuales
permitirán establecer una mejor planificación de la zona para su reconstrucción y con ello
poder evitar futuros desastres.
En el presente estudio se pretende determinar la geometría de los conos aluviales de
Macuto, Caraballeda y Tanaguarena con métodos geofísicos; sísmica de refracción y ruido
ambiental , para suministrar la información básica para el modelado dinámico
Estudios anteriores realizados en la zona reportan suelos, en parte sueltos, con velocidades
sísmicas (Vp) de 400 a 900 m/s con profundidades entre 5 y 20 m. La zona con suelos
saturados y relleno compacto (Vp = 1500-1850 m/s) alcanza profundidades de 50 - 75 m,
seguido por un estrato con una Vp de 2400 m/s, interpretado como roca sedimentaria o
suelo cementado. El basamento compuesto de gneiss o esquistos muy sólidos está ubicado
entre los 100 y 400 m de profundidad, con una velocidad sísmica alrededor de 4000 m/s (
e.g. FUNVISIS, 1978)
A partir del desarrollo de este trabajo se obtuvo que en las zonas de Macuto, Caraballeda y
Tanaguarena, los sedimentos están distribuidos en tres capas. Estas capas fueron interpretadas como sedimentos sueltos, sedimentos más compactados ( aluvión) y roca
sedimentaria para la última capa. Las velocidades de ondas sísmicas ( ondas P y ondas S)
no presentan una marcada variación entre los distintos conos aluviales.
Analizando las velocidades promedio para los primeros 30 m de profundidad, se
interpretaron los sedimentos como suelos duros o densos; con velocidades promedio entre
250 - 400 m/s, y suelos muy duros o muy densos; con velocidades promedio entre 400 -
500 m/s. (Norma Covenin, 1756-98)
En relación con el método de Ruido Ambiental, en las zonas de Macuto, Caraballeda y
Tanaguarenas los valores de Período Fundamental de vibración del suelo predominantes se
ubican entre 0.9 - 1.8 segundos.
Adicionalmente se establecieron comparaciones con los estudios de Ruido Ambiental
realizados en el Valle de Caracas (Rocabado, 1999), se observaron similitudes en la
relación Periodo Fundamental - Profundidad de sedimento."
7,27-May-2011,"La producción de conocimiento : un análisis métrico en el programa de investigación y desarollo del IDEC-FAU-UCV, 2008.","Adrian Mogollón, Julia; Echezuria Perozo, Jorge E.; Valero Goncalves, Yusmary L.",995.92 kB,http://saber.ucv.ve/handle/10872/29,http://saber.ucv.ve/bitstream/10872/29/1/TL-EBA_oct2008_A3.pdf,"The knowledge production in the Research and Development Program of the IDEC-FAUC-UCV was analyzed through two sources of information: the Memory and Account (Management Report), period 2000-2007, and the electronic version of the Tecnología y Construcción Magazine, period 1995-2006. The study develops in three phases: 1) Obtainment of information related to the scientific production of PID-IDEC investigators; 2) Registry of productivity; and 3) a metric analysis relating production variables and producers, in order to elaborate a mechanism of vigilance and electronic maps capable of consolidating relations between national and foreign universities. Academic Tutor: Prof. Dr. Ángel Moros R.
Other Abstracts: Se analiza la producción de conocimiento en el Programa de Investigación y Desarrollo (PID) del IDEC-FAU-UCV utilizando dos fuentes de información la Memoria y Cuenta (Informe de Gestión), período 2000-2007, y la versión electrónica de la revista Tecnología y Construcción, período 1985-2006. El estudio se desarrolla en tres fases: 1) obtención de la información relativa a producción científica de los investigadores del PID-IDEC; 2) registro de productividad; y 3) análisis métrico relacionando variables de producción y productores para elaborar un mecanismo de vigilancia y mapas tecnológicos que consoliden las relaciones interuniversidades nacionales y extranjeras. Tutor Académico: Prof. Dr. Ángel Moros R."
8,31-May-2011,Interpretación sísmica estructural 3D y uso de atributos sísmicos en el cretácico. Bloques IX y XIV del Lago de Maracaibo,"Zapata L., Iris C.",7.16 MB,http://saber.ucv.ve/handle/10872/54,http://saber.ucv.ve/bitstream/10872/54/3/T.E.G.%20Iris%20Zapata.pdf,"El presente trabajo está centrado en la interpretación sísmica estructural 3D y uso
de atributos sísmicos en el Cretáceo de los Bloques IX Y XIV del Lago de Maracaibo. A
partir del cual se definió el modelo estructural, deduciéndose la evolución estructural la cual se asocia a cuatro eventos tectónicos principales: la fase tensional del Jurásico- Cretácico, la fase tensional del Eoceno Temprano a Medio, la fase compresiva del Eoceno Tardío y la fase
compresiva asociada al levantamiento de los Andes venezolanos. La estructura principal en el área es la falla Lama-Icotea, de rumbo NNE-SSO y buzamiento hacia el Oeste el cual cambia en la zona sur del área hacia el este, donde junto a la falla VLE-400 forman una depresión. La falla Lama-Icotea divide el área en dos bloques, un horst en el flanco Este y un graben en el flanco Oeste. Se realizaron mapas de atributos sísmicos basados en volumen en los reflectores
asociados a las Formaciones Lisure y Apón los cuales respondieron principalmente a patrones
estructurales. Dichos mapas se compararon con mapas de atributos sísmicos estructurales
observándose para los mapas de amplitud y frecuencia que valores de baja amplitud y altas frecuencia se corresponden con zonas altamente fracturadas. El uso de atributos sísmicos en los reflectores asociados con los topes de las formaciones Lisure y Apón nos permitió la caracterización de los yacimientos Cretácicos del área de interés, para la cual se utilizaron técnicas de correlación entre atributos sísmicos y
propiedades petrofísicas, generándose mapas de pseudo propiedades que junto a los mapas
estructurales y la información de producción de los pozos del área permitieron delimitar dos zonas prospectivas en las cuales se proponen siete nuevas localizaciones."
9,31-May-2011,Diseño y construcción de un rotor de bomba centrífuga en el centro de mecanizado,"Silva P., Daniel J.",7.16 MB,http://saber.ucv.ve/handle/10872/49,http://saber.ucv.ve/bitstream/10872/49/1/DISE%c3%91O%20Y%20CONSTRUC-%20CI%c3%93N%20DE%20UN%20ROTOR%20DE%20BOMBA%20CENTR%c3%8dFUGA%20EN%20EL%20CENTRO%20DE%20MECANIZADO.pdf,"En este trabajo se comprueba la teoría de flujo potencial como medio para diseñar
álabes de impulsores de bombas centrífugas. Para esto se utiliza la superposición de dos flujos simples como lo son el sumidero y el vórtice libre. Para la comprobación de este diseño, se utilizó la tecnología asistida por computador,tanto para el diseño como para la fabricación como en el caso del uso del Centro de Mecanizado. Como se puede constatar en este trabajo, el Control Numérico es una
herramienta útil para la fabricación de rodetes y poder evaluar de esta forma la presión, caudal, eficiencia, etc. que pueden desarrollar los diferentes diseños. Por el tiempo que tarda en mecanizarse el rodete, se sabe que no es un proceso apto para la producción de grandes volúmenes de piezas pero, con la ayuda de programas del tipo CAM se puede lograr fabricar ejemplares de muestra en poco tiempo y con la precisión requerida. La presión, el caudal y la eficiencia del rodete construido, se evaluaron en el banco de ensayos del laboratorio de Energética de la Escuela de Ingeniería Mecánica. Dando como resultados eficiencias y alturas de presión mayores que las obtenidas para el mismo caudal,utilizando otro rodete similar calculado de otra forma."
10,31-May-2011,Modelado de lodos activados en estado estacionario,"Salazar A., Daniel E.",6.06 MB,http://saber.ucv.ve/handle/10872/44,http://saber.ucv.ve/bitstream/10872/44/1/Modelado%20de%20Lodos%20Activados%20en%20Estado%20Estacionario.pdf,"El interés, cada vez más creciente, en la conservación del ambiente, ha hecho de las plantas de tratamiento de aguas residuales una práctica común y necesaria para mantener el equilibrio de nuestros cuerpos de agua y del planeta en general. Entre una de las opciones más importantes y utilizadas para reducir la concentración de contaminantes orgánicos en el agua residual, se encuentra el tratamiento con lodos activados. A pesar de ellos, los errores en el diseño y la
operación de estos sistemas es una de las causas más frecuentes de fallas en el
desempeño de las mismas. Considerando lo anterior, se planteó como objetivo principal el desarrollo de un programa para simular el comportamiento de diversos sistemas de lodos
activados. Para ello, se consideraron los tipos de sistemas existentes en el país,
los modelos matemáticos más importantes utilizados internacionalmente, la
información disponible o deducible a escala nacional relacionada con los modelos
mencionados y el resultado de experiencias nacionales o internacionales,relacionadas con el diseño y operación de sistemas de lodos activados, que permitiese corroborar los resultados obtenidos. Con las consideraciones anteriores se desarrolló un programa bajo
ambiente Windows llamado simLodos, adaptado al uso común en materia de computación, tanto en el desarrollo interno de los algoritmos de cálculo como en la interfaz del usuario. Dicho programa está acompañado de un manual del usuario. En su ejecución, el programa comprende tanto el diseño como la operación de las principales configuraciones de plantas con lodos activados, a saber: sistema
convencional, sistema de nitrificación, de desnitrificación y sistema de predesnitrifiación. La evaluación de los resultados de diseño, se realizó comparando ejemplos de diseño presentes en la bibliografía especializada con los resultados del programa. También se emplearon datos reales del diseño de una planta de
nitrificación. En todos los casos se obtuvieron resultados apreciablemente buenos,
con errores porcentuales ubicados en su mayoría debajo del 1%. Para el abordaje de la operación, fue necesaria la adaptación de algunas ecuaciones de modelado, para ajustarlas a la información disponible en una
planta. Como no se encontraron expresiones predictivas que describieran las
concentraciones de contaminantes en función del oxígeno suministrado, se propuso una función a trozos que permite determinar con facilidad si el suministro de oxígeno asegura una adecuada operación del sistema. A partir de lo anterior, se realizaron pruebas para el sistema convencional y el sistema de nitrificación, empleando datos reales de operación provenientes de varias plantas de
tratamiento internacionales y una nacional. Los resultados obtenidos en estas pruebas muestran que el programa desarrollado es una herramienta útil para predecir el efecto de las variables de operación en el desempeño de la planta. Cabe destacar que la función a trozos propuesta mostró ser de utilidad en las diferentes pruebas realizadas donde se simulan plantas con reactores aerobios.
Los sistemas de desnitrificación y predesnitrificación no pudieron ser
corroborados con datos reales, por no disponer de información sobre la operación
de los mismos. En estos casos se analizó el comportamiento de las variables mostradas por el programa, comparándola con lo señalado por la teoría, encontrándose correspondencia entre ambos."
