index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,path,isScan,school_simple,school_complex
167,30-Sep-2011,Creación de grupos de apoyo para promover educación sexual en adolescentes basada en valores morales con estudiantes cursantes del octavo y noveno grado de la Unidad Educativa “Virgen de Coromoto” Municipio San Diego Valencia estado Carabobo 2005,"Centeno, Miriam; Hurtado, Nancy; Padrón, Dilcia",1.03 MB,http://saber.ucv.ve/handle/10872/361,http://saber.ucv.ve/bitstream/10872/361/1/Tesis.pdf,thesis_pdf/167.pdf,False,ESCUELA DE ENFERMERIA,Escuela de Enfermería
37,1-Jun-2011,Desarrollo de un programa modular para el ajuste de datos experimentales con modelos no lineales,"Bazó C., Pedro J.",1.28 MB,http://saber.ucv.ve/handle/10872/71,http://saber.ucv.ve/bitstream/10872/71/1/TRABAJO%20ESPECIAL%20DE%20GRADO_noPW.pdf,thesis_pdf/37.pdf,False,Escuela de Ingenieria Quimica,Escuela de Ingeniería Química
39,1-Jun-2011,Control multivariable de un sistema de generación de vapor,"Álvarez S., José G.",1.33 MB,http://saber.ucv.ve/handle/10872/64,http://saber.ucv.ve/bitstream/10872/64/1/TEG%20CONTROL%20MULTIVARIABLE%20SGV%20.pdf,thesis_pdf/39.pdf,False,Escuela de Ingenieria Quimica,Escuela de Ingeniería Química
76,13-Jun-2011,Estudio y evaluación del proceso de alquilación de la refinería El Palito,"Espinoza N., Ruth; Ricci Z., Rita",1.06 MB,http://saber.ucv.ve/handle/10872/125,http://saber.ucv.ve/bitstream/10872/125/1/tesis%20en%20simulaci%c3%b3n%20perteneciente%20a%20Rita%20y%20Ruth.pdf,thesis_pdf/76.pdf,False,Escuela de Ingenieria Quimica,Escuela de Ingeniería Química
189,30-Sep-2011,"Liderazgo de la enfermera supervisora y la motivación de la enfermera de atención directa (ead) en la unidad de perinatología pediátrica del complejo universitario, “Ruiz y Páez”, de Ciudad Bolívar 2do. Semestre del año 2004","Alcalá, Miraldy; López, Nelly",1.07 MB,http://saber.ucv.ve/handle/10872/321,http://saber.ucv.ve/bitstream/10872/321/1/Tesis%20Liderazgo%20de%20la%20enfermera%20supervisora.pdf,thesis_pdf/189.pdf,False,ESCUELA DE ENFERMERIA,Escuela de Enfermería
110,22-Jun-2011,Evaluación de las propiedades mecánicas de sistemas de cemento reforzados con fibras,"Martín C., José J.",1.09 MB,http://saber.ucv.ve/handle/10872/192,http://saber.ucv.ve/bitstream/10872/192/1/EVALUACI%c3%93N%20DE%20LAS%20PROPIEDADES%20MEC%c3%81NICAS%20DE%20SISTEMAS%20DE%20CEMEN.pdf,thesis_pdf/110.pdf,False,Escuela de Ingenieria de Petroleo,Escuela de Ingeniería de Petroleo
124,23-Jun-2011,Metodología estándar para estimar los puntos de corte y rendimientos en las unidades de destilación del circuito refinador venezolano,"Ruiz C., Luis A.",1.13 MB,http://saber.ucv.ve/handle/10872/229,http://saber.ucv.ve/bitstream/10872/229/1/Trabajo%20Especial%20de%20Grado%20Luis%20Ruiz.pdf,thesis_pdf/124.pdf,False,Escuela de Ingenieria Quimica,Escuela de Ingeniería Química
98,20-Jun-2011,"Módulos de automatización de dibujos de vigas y conexiones en acero estructural, operando dentro de un sistema CAD","Herrera T., José E.",1.19 MB,http://saber.ucv.ve/handle/10872/161,http://saber.ucv.ve/bitstream/10872/161/1/M%c3%93DULOS%20DE%20AUTOMATIZACI%c3%93N%20DE%20DIBUJOS%20DE%20VIGAS%20Y%20CONEXIONES%20.pdf,thesis_pdf/98.pdf,False,Escuela de Ingenieria Civil,Escuela de Ingeniería Civil
22,31-May-2011,"Estudio fluidodinámico en una columna rellena con empaque estructurado sulzer smvp, con dirección de transferencia de masa de la fase dispersa a la fase continua","Altuve Ch., María I.; Cueto G., Frederick",1.21 MB,http://saber.ucv.ve/handle/10872/61,http://saber.ucv.ve/bitstream/10872/61/1/Tesis.pdf,thesis_pdf/22.pdf,False,Escuela de Ingenieria Quimica,Escuela de Ingeniería Química
106,22-Jun-2011,Desarrollo de propuestas para el manejo de los residuos de la planta de estructuras metálicas de la empresa ABB de Venezuela,"Mera V., Anndy G.",1.21 MB,http://saber.ucv.ve/handle/10872/195,http://saber.ucv.ve/bitstream/10872/195/1/TRABAJO%20ESPECIAL%20DE%20GRADO.pdf,thesis_pdf/106.pdf,False,Escuela de Ingenieria Quimica,Escuela de Ingeniería Química
100,20-Jun-2011,Modelaje geoestadístico de un campo de permeabilidad con integración de datos dinámicos,"Hernández R., Edwin G.",1.27 MB,http://saber.ucv.ve/handle/10872/158,http://saber.ucv.ve/bitstream/10872/158/1/TEG.pdf,thesis_pdf/100.pdf,False,No school,None
17,31-May-2011,Estudio del efecto de la forma y el tamaño de las partículas sobre la velocidad de sedimentación gravitacional de suspensiones,"Sayago P., Johnny A.",1.34 MB,http://saber.ucv.ve/handle/10872/46,http://saber.ucv.ve/bitstream/10872/46/1/Efecto%20de%20forma%20y%20tamano%20en%20sedimentacion.pdf,thesis_pdf/17.pdf,False,Escuela de Ingenieria Quimica,Escuela de Ingeniería Química
59,3-Jun-2011,Manual de procedimientos para el diseño de proyectos de inversión de capital basado en aspectos de confiabilidad,"Castillo A., Henry J.",1.69 MB,http://saber.ucv.ve/handle/10872/108,http://saber.ucv.ve/bitstream/10872/108/1/Tesis.pdf,thesis_pdf/59.pdf,False,Escuela de Ingenieria Mecanica,Escuela de Ingeniería Mecanica
120,22-Jun-2011,Estudio de la influencia del período de muestreo en el comportamiento de un sistema de regulación PID digital para el control de flujo.,"Mora Z., Franklin A.; Vergara V., Luis E.",1.66 MB,http://saber.ucv.ve/handle/10872/196,http://saber.ucv.ve/bitstream/10872/196/1/TESIS%20TOTAL%20A%20ENTREGAR%20CD.pdf,thesis_pdf/120.pdf,False,Escuela de Ingenieria Mecanica,Escuela de Ingeniería Mecanica
146,23-Jun-2011,Influencia de la estructura de la torta sobre su permeabilidad y porosidad,"Rojas C., Gloria C.",1.48 MB,http://saber.ucv.ve/handle/10872/225,http://saber.ucv.ve/bitstream/10872/225/1/Tesis-GloriaRojas.pdf,thesis_pdf/146.pdf,False,Escuela de Ingenieria Quimica,Escuela de Ingeniería Química
