index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex
5567,30-Mar-2017,Aplicación para la Gestión de Proyectos en Ambientes Sociales y Colaborativos bajo el enfoque de la Web 2.0,"Conesa Izquierdo, Elisa",2.35 MB,http://saber.ucv.ve/handle/10872/15575,http://saber.ucv.ve/bitstream/10872/15575/1/docTEG.pdf,,thesis_pdf_all/5567.pdf,True,True,False,escuela de computacion,Escuela de Computación
5541,29-Mar-2017,Generación procedimental de contenido en un videojuego del género MOBA,"Cannizzo Stacconi, Alejandro",2.52 MB,http://saber.ucv.ve/handle/10872/15544,http://saber.ucv.ve/bitstream/10872/15544/1/TEG_Alejandro_Cannizzo.pdf,,thesis_pdf_all/5541.pdf,True,True,False,escuela de computacion,Escuela de Computación
5576,30-Mar-2017,Diseño y desarrollo de una aplicación móvil para georeferenciar sitios de interés,"Davis Escalona, Andrew Olivier",2.43 MB,http://saber.ucv.ve/handle/10872/15573,http://saber.ucv.ve/bitstream/10872/15573/1/TEG.AndrewDavis.2013.pdf,,thesis_pdf_all/5576.pdf,True,True,False,escuela de computacion,Escuela de Computación
5603,4-Apr-2017,"Sistema para la gestión de censos, encuestas y estudios (SIGECENE))","Pereira de Melo, Fábio Roberto",2.74 MB,http://saber.ucv.ve/handle/10872/15626,http://saber.ucv.ve/bitstream/10872/15626/1/tesis_finale.pdf,,thesis_pdf_all/5603.pdf,True,True,False,escuela de computacion,Escuela de Computación
5602,4-Apr-2017,Modelo de sistema de gestión y monitoreo para los puntos de acceso inalámbricos heterogéneos multifabricante. Caso de estudio: Facultad de Ciencias de la Universidad Central de Venezuela,"Navarro Urbina, Kendall Rober",2.93 MB,http://saber.ucv.ve/handle/10872/15625,http://saber.ucv.ve/bitstream/10872/15625/3/TEG_ModificacionFinal.pdf,,thesis_pdf_all/5602.pdf,True,True,False,escuela de computacion,Escuela de Computación
5601,4-Apr-2017,rototipo de un reconocedor de voz para el idioma español,"Castro Briceño, David Alejandro",686.02 kB,http://saber.ucv.ve/handle/10872/15624,http://saber.ucv.ve/bitstream/10872/15624/1/TEG_DAVID_CASTRO_17423089.pdf,,thesis_pdf_all/5601.pdf,True,True,False,escuela de computacion,Escuela de Computación
5600,4-Apr-2017,Incorporación de la evaluación de la experiencia del usuario en el desarrollo de software a través del Método AgilUs,"Bonilla de la Concepción, Adriana; Freites Hernández, María de Lourdes",3.28 MB,http://saber.ucv.ve/handle/10872/15623,http://saber.ucv.ve/bitstream/10872/15623/1/TEG_AdrianaBonilla_Mar%c3%adaFreites.pdf,,thesis_pdf_all/5600.pdf,True,True,False,escuela de computacion,Escuela de Computación
5599,4-Apr-2017,"Plataforma de envío, recepción y gestión de mensajes multimedia sobre ambiente Web, Tecnologías de Código Abierto y Módems GSM.","Izquierdo Sánchez, Carlos Alberto",3.43 MB,http://saber.ucv.ve/handle/10872/15622,http://saber.ucv.ve/bitstream/10872/15622/3/Documento%20de%20Tesis%2002102011%20%281%29.pdf,,thesis_pdf_all/5599.pdf,True,True,False,escuela de computacion,Escuela de Computación
5598,4-Apr-2017,Modelo de cortes volumétricos para la simulación de cirugía de huesos,"Guía, Carlos",5.76 MB,http://saber.ucv.ve/handle/10872/15621,http://saber.ucv.ve/bitstream/10872/15621/1/Trabajo%20Especial%20de%20Grado.pdf,,thesis_pdf_all/5598.pdf,True,True,False,escuela de computacion,Escuela de Computación
5595,4-Apr-2017,Diseño e implementación de un sistema automatizado de modelaje meteorológico interactivo,"Urrea F., Jonathan E.",7.78 MB,http://saber.ucv.ve/handle/10872/15618,http://saber.ucv.ve/bitstream/10872/15618/3/tesis_Jonathan_Urrea_18329651.pdf,,thesis_pdf_all/5595.pdf,True,True,False,escuela de computacion,Escuela de Computación
