index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex,thesis_tutor
5407,27-Mar-2017,Estudio del efecto del tipo de ácido y concentración en la recuperación de ácido fítico en presencia de metales por el método HPLC-RI,"Mijares Echezuría, Eloy Guillermo",1.13 MB,http://saber.ucv.ve/handle/10872/15394,http://saber.ucv.ve/bitstream/10872/15394/1/T.E.G.%20Eloy%20Mijares.pdf,,thesis_pdf_all/5407.pdf,True,True,False,escuela de quimica,Escuela de Química,Rosa Amaro
5743,30-May-2017,"Estudio de los complejos de vanadio (IV) y leucina por medio de medidas de fuerzas electromotrices (KCl 3.0 M, 25 ºC)","Muñoz Cordero, Natalia S.",1.91 MB,http://saber.ucv.ve/handle/10872/15914,http://saber.ucv.ve/bitstream/10872/15914/1/TEG%20corregida%20Nati.pdf,,thesis_pdf_all/5743.pdf,True,True,False,escuela de quimica,Escuela de Química,Felipe Brito
4324,25-Feb-2016,"Estudio de la formación de complejos de molibdeno (VI) con glicina por medio de medidas de fuerzas electromotrices, EMF(H) (NaCl 1.0 M, 25º C)","Camacho C., David M.",1.29 MB,http://saber.ucv.ve/handle/10872/13500,http://saber.ucv.ve/bitstream/10872/13500/1/TEG%20Corregido%20IMPRIMIR.pdf,,thesis_pdf_all/4324.pdf,True,True,False,escuela de quimica,Escuela de Química,Carl Wilhelm Scheele
5211,14-Mar-2017,Determinación de ácidos carboxílicos a través del desarrollo de un método por electroforesis capilar y uso de herramientas hidrogeoquímicas convencionales para la caracterización de las aguas formacionales del Campo Las Mercedes estado Guárico,"De Andrade Navarro, Maria Alejandra",3.61 MB,http://saber.ucv.ve/handle/10872/15085,http://saber.ucv.ve/bitstream/10872/15085/1/Tesis_Maria%20De%20Andrade_UCV%202016.pdf,,thesis_pdf_all/5211.pdf,True,True,False,escuela de quimica,Escuela de Química,Lic Felipe Quintero
6591,23-Feb-2018,Metabolitos secundarios de Gymnogo Tenuis y estudios preliminares de la toxicidad aguda del extracto Metanólico en el Modelo de Pez Cebra Danio Rerio,"García Pérez, Victoria Eugenia",3.47 MB,http://saber.ucv.ve/handle/10872/17857,http://saber.ucv.ve/bitstream/10872/17857/1/Tesis%20Alfa.pdf,,thesis_pdf_all/6591.pdf,True,True,False,escuela de quimica,Escuela de Química,Isa
5615,7-Apr-2017,Desarrollo de sistemas catalíticos a base de níquel: aplicación al reformado de metano,"Aliendres Gómez, Francis Andreina",2.41 MB,http://saber.ucv.ve/handle/10872/15652,http://saber.ucv.ve/bitstream/10872/15652/1/TEG.pdf,,thesis_pdf_all/5615.pdf,True,True,False,escuela de quimica,Escuela de Química,Dra
3479,29-Jun-2015,"Síntesis y caracterización del 2,3,4,5-tetrametoxitolueno como precursor en la síntesis de la coenzima Q10","Chinea, Kimberly",344.27 kB,http://saber.ucv.ve/handle/10872/10648,http://saber.ucv.ve/bitstream/10872/10648/1/Tesis%20Kimberly%20Chinea.pdf,,thesis_pdf_all/3479.pdf,True,True,False,escuela de quimica,Escuela de Química,Ajoy Banerjee
8068,23-Jan-2020,Desorción de gases asociados a las fracciones macerales de vitrinitas y liptinitas en carbones de diferente rango,"Torchia López, Sabrina",2.78 MB,http://saber.ucv.ve/handle/10872/20530,http://saber.ucv.ve/bitstream/10872/20530/1/TEG%20SABRINA%20TORCHIA.pdf,,thesis_pdf_all/8068.pdf,True,True,False,escuela de quimica,Escuela de Química,Katya Reategui
3815,13-Oct-2015,"Desarrollo de un método para la determinación de acetaminofen, fenilefrina y sus productos de degradación en formulaciones farmacéuticas para el resfriado común","Báez B., Erick G.",4.25 MB,http://saber.ucv.ve/handle/10872/12279,http://saber.ucv.ve/bitstream/10872/12279/1/tesis%20Erick%20G.%20B%c3%a1ez%20B..pdf,,thesis_pdf_all/3815.pdf,True,True,False,escuela de quimica,Escuela de Química,Luis Gomez
5213,14-Mar-2017,Propuesta de un plan para la minimización del riesgo químico presente en el laboratorio I de química inorgánica de la Facultad de Ciencias,"Da Silva Dos Ramos, Jhonatan Avelino",4.49 MB,http://saber.ucv.ve/handle/10872/15087,http://saber.ucv.ve/bitstream/10872/15087/1/TEG.pdf,,thesis_pdf_all/5213.pdf,True,True,False,escuela de quimica,Escuela de Química,Soraya
