index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex,thesis_tutor,path_txt
898,9-Jul-2012,Desarrollo de una aplicación ambiente WEB para la visualización  de la ontología para insectos acuáticos,"Labrador, Yessika",2.45 MB,http://saber.ucv.ve/handle/10872/1503,http://saber.ucv.ve/bitstream/10872/1503/1/TESIS.pdf,,thesis_pdf_all/898.pdf,True,True,False,escuela de computacion,Escuela de Computación,Esmeralda Ramos,thesis_txt/898.txt
899,9-Jul-2012,Técnica para la Migración de Software basada en Modelos Cognitivos del Usuario,"Palomino, Florecita; Malavé, Laura",2.24 MB,http://saber.ucv.ve/handle/10872/1504,http://saber.ucv.ve/bitstream/10872/1504/1/TEG_T%c3%a9cnica_Migraci%c3%b3n_SW_2007.pdf,,thesis_pdf_all/899.pdf,True,True,False,escuela de computacion,Escuela de Computación,Nora Montano,thesis_txt/899.txt
4243,19-Feb-2016,Desarrollo de una aplicación móvil para videollamadas aplicadas al soporte de consultas médicas,"Alonso, Francisco; Briceño, Tony",2.14 MB,http://saber.ucv.ve/handle/10872/13374,http://saber.ucv.ve/bitstream/10872/13374/1/Tesis-Francisco-Tony-Videollamada_Android_Aplicada_al_Soporte_de_Consultas_Medicas.pdf,,thesis_pdf_all/4243.pdf,True,True,False,escuela de computacion,Escuela de Computación,Ana Morales,thesis_txt/4243.txt
4244,19-Feb-2016,"Desarrollo del módulo ""trabajos académicos"" del portal biblioteca virtual musicológica juan meseròn de la escuela de artes, universidad central de Venezuela","Cardozo Fernández, Víctor D.",1.18 MB,http://saber.ucv.ve/handle/10872/13373,http://saber.ucv.ve/bitstream/10872/13373/1/TEG-Victor-Cardozo-ver-09-Mayo.pdf,,thesis_pdf_all/4244.pdf,True,True,False,escuela de computacion,Escuela de Computación,Yusneyi Y Carballo Barrera,thesis_txt/4244.txt
4245,19-Feb-2016,Sistema de inteligencia de negocio para la obtención de indicadores en el área de ventas,"Hernández, Johana",2.15 MB,http://saber.ucv.ve/handle/10872/13365,http://saber.ucv.ve/bitstream/10872/13365/1/TEG%20VF_Johana%20Hernandez.pdf,,thesis_pdf_all/4245.pdf,True,True,False,escuela de computacion,Escuela de Computación,Franklin Sandoval,thesis_txt/4245.txt
3085,22-Apr-2015,Portal generador de sitios web de asignaturas para la Facultad de Ciencias de la Universidad Central de Venezuela,"Díaz, Oswaldo A.; Villavicencio, Manuela A.",7.65 MB,http://saber.ucv.ve/handle/10872/8905,http://saber.ucv.ve/bitstream/10872/8905/1/Tesis%20Dias-Villavicencio.pdf,,thesis_pdf_all/3085.pdf,True,True,False,escuela de computacion,Escuela de Computación,Alecia Elenora Acosta,thesis_txt/3085.txt
2767,7-Nov-2014,Desarrollo de una Aplicación Web para el Centro de Cómputo de una Procesadora de Medios de Pago que automatice la Gestión de Incidencias.,"Lugo, Jennifer C.; Rodríguez, Nelwin A.",1.04 MB,http://saber.ucv.ve/handle/10872/7557,http://saber.ucv.ve/bitstream/10872/7557/1/Tesis%20Lugo-Rodr%c3%adguez.pdf,,thesis_pdf_all/2767.pdf,True,True,False,escuela de computacion,Escuela de Computación,Johnny SepulvedaCaracas,thesis_txt/2767.txt
2711,27-Oct-2014,Realidad Virtual en Televisión Digital: Simulador de Votaciones Electorales para Televisión Digital,"Martínez, Alejandro J.; Meléndez, Roberto K.",3.42 MB,http://saber.ucv.ve/handle/10872/7444,http://saber.ucv.ve/bitstream/10872/7444/1/Tesis%20Mart%c3%adnez-Mel%c3%a9ndez.pdf,,thesis_pdf_all/2711.pdf,True,True,False,escuela de computacion,Escuela de Computación,Omaira Rodriguez,thesis_txt/2711.txt
2713,28-Oct-2014,Desarrollo Orientado a Comportamiento. Caso de Estudio: Solicitudes de Jurado para Seminario y Trabajos Especiales de Grado,"Mariñan, Daniel; Montaño, Julio J.",2.1 MB,http://saber.ucv.ve/handle/10872/7450,http://saber.ucv.ve/bitstream/10872/7450/1/Tesis%20Mari%c3%b1an-Monta%c3%b1o.pdf,,thesis_pdf_all/2713.pdf,True,True,False,escuela de computacion,Escuela de Computación,Jossie Zambrano,thesis_txt/2713.txt
2714,28-Oct-2014,Sistema de Control de Estudios y Administrativos (SCEA) para una unidad de Educación Básica y/o Media funcionando desde Windows Azure,"Herrero, Jorge A.",4.35 MB,http://saber.ucv.ve/handle/10872/7451,http://saber.ucv.ve/bitstream/10872/7451/1/Tesis%20Jorge%20Alexander%20Herrero%20Sierra.pdf,,thesis_pdf_all/2714.pdf,True,True,False,escuela de computacion,Escuela de Computación,Robinson Rivas,thesis_txt/2714.txt
2716,28-Oct-2014,Aprenda Token Ring: Sistema Didáctico para la Enseñanza de la Arquitectura de Red Token Ring,"Pirela, Sheyla M.; Yu Lin, Chen",2.88 MB,http://saber.ucv.ve/handle/10872/7453,http://saber.ucv.ve/bitstream/10872/7453/1/Tesis%20Pirela-Yu%20Lin.pdf,,thesis_pdf_all/2716.pdf,True,True,False,escuela de computacion,Escuela de Computación,Eric Gamess,thesis_txt/2716.txt
2718,28-Oct-2014,Desarrollo de una aplicación Web de programa de incentivos bajo la arquitectura cliente-servidor utilizando la metodología de desarrollo RUP-SCRUM,"ANDRADE, VERÓNICA D.",1.47 MB,http://saber.ucv.ve/handle/10872/7455,http://saber.ucv.ve/bitstream/10872/7455/1/Tesis%20ANDRADE%20PERAF%c3%81N%2c%20VER%c3%93NICA%20DALILA.pdf,,thesis_pdf_all/2718.pdf,True,True,False,escuela de computacion,Escuela de Computación,"FERNANDEZ ,",thesis_txt/2718.txt
2720,28-Oct-2014,BlueCiens: Una Herramienta para el Escaneo y la Distribución de Anuncios Usando Bluetooth,"Díaz, Eduardo D.",2.65 MB,http://saber.ucv.ve/handle/10872/7457,http://saber.ucv.ve/bitstream/10872/7457/1/Tesis%20Eduardo%20Diego%20D%c3%adaz%20Castillo.pdf,,thesis_pdf_all/2720.pdf,True,True,False,escuela de computacion,Escuela de Computación,Maria E Villapol,thesis_txt/2720.txt
2723,28-Oct-2014,Sistema de gestión de incidentes y de problemas para los servicios prestados por la corporación suiche 7b,"Lazo, Iván S.",2.85 MB,http://saber.ucv.ve/handle/10872/7463,http://saber.ucv.ve/bitstream/10872/7463/1/Tesis%20Iv%c3%a1n%20S.%20Lazo.pdf,,thesis_pdf_all/2723.pdf,True,True,False,escuela de computacion,Escuela de Computación,Yusneyi Y Carballo Barrera,thesis_txt/2723.txt
2724,28-Oct-2014,Generador gráfico de consultas para la recuperación de datos integrado en eclipse,"Martínez, Héctor E.; Poleo, Anely N.",5.25 MB,http://saber.ucv.ve/handle/10872/7465,http://saber.ucv.ve/bitstream/10872/7465/1/Tesis%20Mart%c3%adnez-Poleo.pdf,,thesis_pdf_all/2724.pdf,True,True,False,escuela de computacion,Escuela de Computación,Sergio Jose Rivas Atanacio,thesis_txt/2724.txt
2725,28-Oct-2014,Desarrollo de un portal Web para apoyar el aprendizaje continuo tecnológico,"Jaimes, Oscar; D’Sola, Samantha",7.14 MB,http://saber.ucv.ve/handle/10872/7467,http://saber.ucv.ve/bitstream/10872/7467/1/Tesis%20Jaimes-D%c2%b4Sola.pdf,,thesis_pdf_all/2725.pdf,True,True,False,escuela de computacion,Escuela de Computación,Nora Montano,thesis_txt/2725.txt
2726,28-Oct-2014,Estudio de los Protocolos de Enrutamiento para Redes Malladas con Restricciones de Ancho de Banda en el Borde,"Balderrama, Carolina; Colombo, Mariana",3.46 MB,http://saber.ucv.ve/handle/10872/7471,http://saber.ucv.ve/bitstream/10872/7471/1/Tesis%20Balderrama-Colombo.pdf,,thesis_pdf_all/2726.pdf,True,True,False,escuela de computacion,Escuela de Computación,Maria Elena Villapol,thesis_txt/2726.txt
2728,28-Oct-2014,"“Desarrollo de un Sistema Web de gestión, control e inscripción de Actividades Extracurriculares para el C.E.A.P.U.C.V.”","Carrero, Rocio N.; Pérez, Hedras C.",2.76 MB,http://saber.ucv.ve/handle/10872/7478,http://saber.ucv.ve/bitstream/10872/7478/1/Tesis%20Carrero-P%c3%a9rez.pdf,,thesis_pdf_all/2728.pdf,True,True,False,escuela de computacion,Escuela de Computación,Ana Romero,thesis_txt/2728.txt
2702,23-Oct-2014,Despliegue de Volúmenes Multi-resolución Basado en Ray Casting de una Pasada,"López, Kijam E.",3.51 MB,http://saber.ucv.ve/handle/10872/7406,http://saber.ucv.ve/bitstream/10872/7406/1/Tesis%20Kijam%20Enrique%20Jos%c3%a9%20L%c3%b3pez%20Berrocal.pdf,,thesis_pdf_all/2702.pdf,True,True,False,escuela de computacion,Escuela de Computación,Rhadames Carmona,thesis_txt/2702.txt
2710,27-Oct-2014,Desarrollo de una solución de Inteligencia de Negocios para la obtención de indicadores relevantes en el manejo del Recurso Humano de una organización.,"Yepez, Julio C.",5.08 MB,http://saber.ucv.ve/handle/10872/7445,http://saber.ucv.ve/bitstream/10872/7445/1/Tesis%20Julio%20Cesar%20Yepez%20Coronel.pdf,,thesis_pdf_all/2710.pdf,True,True,False,escuela de computacion,Escuela de Computación,Franky Uzcategui,thesis_txt/2710.txt
2696,23-Oct-2014,"Diseño, implementación y adecuación de una herramienta educativa basada en Minix para cursos de sistemas operativos","De León, Dumar; España, José",2.3 MB,http://saber.ucv.ve/handle/10872/7413,http://saber.ucv.ve/bitstream/10872/7413/1/Tesis%20De%20Le%c3%b3n-Espa%c3%b1a.pdf,,thesis_pdf_all/2696.pdf,True,True,False,escuela de computacion,Escuela de Computación,David Perez,thesis_txt/2696.txt
