,index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex,dates
0,5573,2017-03-30,Identificación y cuantificación de hidrocarburos aromáticos policíclicos en muestras de aire de ambientes de trabajo por cromatografía de gases acoplada a espectrometría de masas,"Hergueta Possamai, Verónica Yrama",3.63 MB,http://saber.ucv.ve/handle/10872/15578,http://saber.ucv.ve/bitstream/10872/15578/1/TEG.pdf,,thesis_pdf_all/5573.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-03-30
1,5572,2017-03-30,Evaluación de catalizadores soportados de Pd-Mo para el hidrotratamiento profundo de light cycle oil,"Tovar Flores, Manuel Enrique",2.91 MB,http://saber.ucv.ve/handle/10872/15579,http://saber.ucv.ve/bitstream/10872/15579/1/EVALUACI%c3%93N%20DE%20CATALIZADORES%20SOPORTADOS%20DE%20Pd-Mo%20PARA%20EL%20HIDROTRATAMIENTO%20PROFUNDO%20DE%20LIGHT%20CYCLE%20.pdf,,thesis_pdf_all/5572.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-03-30
2,5571,2017-03-30,Estudio de la solubilidad para sistemas binarios gas – líquidos en condiciones supercríticas por medidas de índice de refracción,"Rampersad Avilán, Jeniree G.",1.55 MB,http://saber.ucv.ve/handle/10872/15580,http://saber.ucv.ve/bitstream/10872/15580/1/tesis%20lista%20jeniree.pdf,,thesis_pdf_all/5571.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-03-30
3,5574,2017-03-30,Estudio químico cuántico computacional del complejo de transferencia de carga dibenzotetratiofulvaleno/tetracianoquinodimetano DBTTF/TCNQ como precursor molecular de celdas fotovoltaicas orgánicas: aplicación de la teoría del funcional densidad,"Romero Camacho, Eduardo Enrique",2.55 MB,http://saber.ucv.ve/handle/10872/15577,http://saber.ucv.ve/bitstream/10872/15577/1/tesis%20pregrado%20Eduardo%20Romero.pdf,,thesis_pdf_all/5574.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-03-30
4,5591,2017-04-04,Estudio de formación de los complejos de cromo (III) con el ácido salicílico,"Feijóo Rodríguez, Alberto",339.56 kB,http://saber.ucv.ve/handle/10872/15628,http://saber.ucv.ve/bitstream/10872/15628/1/UNIVERSIDAD%20CENTRAL%20DE%20VENEZUELA%20impresion.pdf,,thesis_pdf_all/5591.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-04-04
5,5588,2017-04-03,Estudio de la formación de los complejos de vanadio (V) con aminoácidos. Sistema H+-VO2+-leucina (KCl 3.0 M a 25º C),"Leiva Quevedo, Nataly",1.47 MB,http://saber.ucv.ve/handle/10872/15601,http://saber.ucv.ve/bitstream/10872/15601/1/TEG%20Nataly%20Leiva%20pdf.pdf,,thesis_pdf_all/5588.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-04-03
6,5587,2017-04-03,"Estudios de formación de complejos ternarios entre el sistema vanadio (III) – cisteína y los aminoácidos histidina, ácido aspártico y ácido glutámico mediante medidas de EMF (H) en KCl 3,0M A 25°C.","Martínez P., Yendry Y.",1.85 MB,http://saber.ucv.ve/handle/10872/15602,http://saber.ucv.ve/bitstream/10872/15602/1/Teg%201.pdf,,thesis_pdf_all/5587.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-04-03
7,5586,2017-04-03,Desarrollo de un método para determinación de melamina en leche mediante la técnica HPLC-UV,"Franco Sánchez, Mailyn Carolina",5.43 MB,http://saber.ucv.ve/handle/10872/15604,http://saber.ucv.ve/bitstream/10872/15604/1/TESIS%20FINAL%2005-2011.pdf,,thesis_pdf_all/5586.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-04-03
8,5585,2017-04-03,"Estudio inicial de gestión de residuos. Comparación de efectividad y costo de materiales sorbentes de origen residual, natural y sintético en derrames de especies químicas","Pérez Lozada, Delimar Arminda",5.22 MB,http://saber.ucv.ve/handle/10872/15606,http://saber.ucv.ve/bitstream/10872/15606/1/tesis%20completa.pdf,,thesis_pdf_all/5585.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-04-03
9,5584,2017-04-03,Estudio de formación de complejos de vanadio (V) con el ácido dietilentriaminopentacético (DTPA),"Maza Ramírez, Oswaldo Antonio",843.02 kB,http://saber.ucv.ve/handle/10872/15608,http://saber.ucv.ve/bitstream/10872/15608/1/TEG%20Oswaldo.pdf,,thesis_pdf_all/5584.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-04-03
