,index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex,thesis_tutor
0,59,2011-06-03,Análisis del comportamiento de mezclas de PP con SBS irradiados con cobalto 60,"Belgoderi V., Luis A.",3.01 MB,http://saber.ucv.ve/handle/10872/89,http://saber.ucv.ve/bitstream/10872/89/1/Tesis%20%28Tomo%20Final%29.pdf,,thesis_pdf_all/59.pdf,True,True,False,escuela de quimica,Escuela de Química,Carmen Albano
1,1610,2013-02-18,Caracterización y preparación de parafinas para inclusión de tejidos,"Sinic B., Damastes",2.28 MB,http://saber.ucv.ve/handle/10872/2749,http://saber.ucv.ve/bitstream/10872/2749/1/Caracterizaci%c3%b3n%20y%20preparaci%c3%b3n%20de%20parafinas%20para%20inclusi%c3%b3n%20de%20tejidos.pdf,,thesis_pdf_all/1610.pdf,True,True,False,escuela de quimica,Escuela de Química,Carolina
2,1660,2013-02-27,Influencia del soporte de la reacción de hidrodesulfuración selectiva (HDSS) de una nafta sintética sobre catalizadores CoMo en fase sulfuro,"Mora G., Jesary J.",1.23 MB,http://saber.ucv.ve/handle/10872/2829,http://saber.ucv.ve/bitstream/10872/2829/1/TRABAJO%20ESPECIAL%20DE%20GRADO%20JESARY%20MORA.pdf,,thesis_pdf_all/1660.pdf,True,True,False,escuela de quimica,Escuela de Química,Trino Romero
3,3095,2015-04-23,Síntesis y caracterízación de nuevos materiales microestructurados basados en hidrogeles de acrilamida y/o ácido acrílico con esferas de carbono funcionalizadas para la remoción de metales pesados,"González, Verónica",1.76 MB,http://saber.ucv.ve/handle/10872/8911,http://saber.ucv.ve/bitstream/10872/8911/1/Tesis%20Ver%c3%b3nica%20Gonz%c3%a1lez%20Nieto%2c.pdf,,thesis_pdf_all/3095.pdf,True,True,False,escuela de quimica,Escuela de Química,Carlos Chinea
4,3084,2015-04-22,Aislamiento y caracterización de los principios activos presentes en las ramas y hojas de la especie Cassia fruticosa Mill.,"Mendoza, Reine L.",3.12 MB,http://saber.ucv.ve/handle/10872/8904,http://saber.ucv.ve/bitstream/10872/8904/1/Tesis%20Reine%20L.%20Mendoza.pdf,,thesis_pdf_all/3084.pdf,True,True,False,escuela de quimica,Escuela de Química,Maria Rodriguez
5,3090,2015-04-23,Evaluación del contenido de metales pesados en agua y peces del Lago de Valencia,"Palma, María G.",1.31 MB,http://saber.ucv.ve/handle/10872/8922,http://saber.ucv.ve/bitstream/10872/8922/1/Tesis%20Mar%c3%ada%20Gabriela%20Palma.pdf,,thesis_pdf_all/3090.pdf,True,True,False,escuela de quimica,Escuela de Química,Williams Melendez
6,3074,2015-04-20,"Determinación de mercurio en los sedimientos superficiales del Golfo de Cariaco, estado Sucre, Venezuela","Aranguren, Nayher A.",3.88 MB,http://saber.ucv.ve/handle/10872/8880,http://saber.ucv.ve/bitstream/10872/8880/1/Tesis%20Nayher%20Alexmarg%20Aranguren.pdf,,thesis_pdf_all/3074.pdf,True,True,False,escuela de quimica,Escuela de Química,Armando Ramirez
7,3082,2015-04-20,Desarrollo de un método rápido mediante cromatografía de capa fina (CCF) que permita la cuantificación de metabolitos secundarios en extractos de plantas.,"De Freitas, Luis A.",2.66 MB,http://saber.ucv.ve/handle/10872/8879,http://saber.ucv.ve/bitstream/10872/8879/1/Tesis%20Luis%20Antonio%20De%20Freitas%20Fernandez.pdf,,thesis_pdf_all/3082.pdf,True,True,False,escuela de quimica,Escuela de Química,Maria Rodriguez
8,2762,2014-11-03,Polarizabilidad e hiperpolarizabilidades estáticas de algunos compuestos heterocíclicos de cuatro miembros: Efecto de los sustituyentes y del plano molecular,"Romero, Angel H.",1.35 MB,http://saber.ucv.ve/handle/10872/7523,http://saber.ucv.ve/bitstream/10872/7523/1/Tesis%20Angel%20Heriberto%20Romero%20Cordero.pdf,,thesis_pdf_all/2762.pdf,True,True,False,escuela de quimica,Escuela de Química,Emilio Squitieri
9,2707,2014-10-27,Caracterización de querógenos de la cuenca occidental de Venezuela a través de la técnica de espectroscopía infrarroja por reflectancia difusa,"Colmenares, Jaime R.",3.08 MB,http://saber.ucv.ve/handle/10872/7443,http://saber.ucv.ve/bitstream/10872/7443/1/Tesis%20Jaime%20%20Colmenares.pdf,,thesis_pdf_all/2707.pdf,True,True,False,escuela de quimica,Escuela de Química,Karla Quintero Tutora
10,3083,2015-04-20,"Diseño de una metodología de determinación de la clorofila “A” en muestras de agua, mediante la técnica de extracción en fase solida y fluorescencia molecular.","Padrón, Christian E.",1.14 MB,http://saber.ucv.ve/handle/10872/8881,http://saber.ucv.ve/bitstream/10872/8881/1/Tesis%20Christian%20Padr%c3%b3n.pdf,,thesis_pdf_all/3083.pdf,True,True,False,escuela de quimica,Escuela de Química,Yosmery Vitta
11,2772,2014-11-07,Propuesta de gestión de riesgos en la Facultad de Ciencias en función al manejo de emergencias con materiales peligrosos,"Acevedo, Nelson E.",2.73 MB,http://saber.ucv.ve/handle/10872/7551,http://saber.ucv.ve/bitstream/10872/7551/1/tesis%20Nelson%20Enrique%20Acevedo%20Vall%c3%a9e.pdf,,thesis_pdf_all/2772.pdf,True,True,False,escuela de quimica,Escuela de Química,Camelia
12,2821,2014-11-20,Uso de la dispersión de Hiper Rayleigh para el estudio y caracterización de nanopartículas de oro,"Pérez, Adriana I.",33.93 MB,http://saber.ucv.ve/handle/10872/7689,http://saber.ucv.ve/bitstream/10872/7689/1/Tesis%20Adriana%20In%c3%a9s%20P%c3%a9rez.pdf,,thesis_pdf_all/2821.pdf,True,True,False,escuela de quimica,Escuela de Química,Hector Gutierrez
13,2797,2014-11-17,"Hidrotratamiento asistido electroquímicamente, vía permeación de hidrógeno, empleando superficies de negro de paladio y sus modificaciones: Desarrollo del modelo cinético","Berríos, Alberth J.",1.66 MB,http://saber.ucv.ve/handle/10872/7641,http://saber.ucv.ve/bitstream/10872/7641/1/Tesis%20Alberth%20Josmar%20Berr%c3%ados%20Araujo.pdf,,thesis_pdf_all/2797.pdf,True,True,False,escuela de quimica,Escuela de Química,Pablo
14,2773,2014-11-07,"Evaluación de la capacidad de sorción de metano y otros hidrocarburos, por los carbones de la Formación Cerro Pelado (Mioceno Temprano), Edo. Falcón","Rodríguez, María E.",3.84 MB,http://saber.ucv.ve/handle/10872/7552,http://saber.ucv.ve/bitstream/10872/7552/1/Tesis%20Mar%c3%ada%20Rodr%c3%adguez.pdf,,thesis_pdf_all/2773.pdf,True,True,False,escuela de quimica,Escuela de Química,Van Krevelen
15,2819,2014-11-19,"Estudio inicial de gestión de riesgos de la Facultad de Ciencias, como estrategia para reducir la vulnerabilidad de esta en desastres socio-naturales","Acevedo, Leonardo",1.63 MB,http://saber.ucv.ve/handle/10872/7677,http://saber.ucv.ve/bitstream/10872/7677/1/Tesis%20Leonardo%20Acevedo.pdf,,thesis_pdf_all/2819.pdf,True,True,False,escuela de quimica,Escuela de Química,ASFAHL Ray C
16,2781,2014-11-10,Desarrollo y evaluación de un biosensor quimioluminiscente para su aplicación en análisis clínicos.,"Benavides, Karina",2.05 MB,http://saber.ucv.ve/handle/10872/7595,http://saber.ucv.ve/bitstream/10872/7595/1/Tesis%20Benavides%20Ferreira.pdf,,thesis_pdf_all/2781.pdf,True,True,False,escuela de quimica,Escuela de Química,Jimmy Castillo
17,2830,2014-11-21,Diseño y Evaluación de un sistema colorimétrico para análisis clínicos en celdas ELISA.,"Briceño, Andreina",1.34 MB,http://saber.ucv.ve/handle/10872/7709,http://saber.ucv.ve/bitstream/10872/7709/1/Tesis%20Andreina%20Brice%c3%b1o.pdf,,thesis_pdf_all/2830.pdf,True,True,False,escuela de quimica,Escuela de Química,Freddy Gonzalez Mujica
18,2840,2014-11-21,"Estudio de los complejos de vanadio (V) y el ácido aspártico por medio de medidas de fuerzas electromotrices (25 °C, KCl 3.0 M)","Peña, Manuel A.",1.14 MB,http://saber.ucv.ve/handle/10872/7708,http://saber.ucv.ve/bitstream/10872/7708/1/Tesis%20Manuel%20Antonio%20Pe%c3%b1a.pdf,,thesis_pdf_all/2840.pdf,True,True,False,escuela de quimica,Escuela de Química,Felipe Brito Rodriguez
19,2843,2014-11-21,"Estudio de la actividad catalítica de nanopartículas de rodio estabilizadas con polímeros orgánicos, en la reacción de carbonilación de 1-hexeno.","Peña, Ibelise N.",4.32 MB,http://saber.ucv.ve/handle/10872/7696,http://saber.ucv.ve/bitstream/10872/7696/1/Tesis%20Ibelise%20Noefmi%20Pe%c3%b1a.pdf,,thesis_pdf_all/2843.pdf,True,True,False,escuela de quimica,Escuela de Química,Barbara
20,2845,2014-11-27,Estudio de los complejos de vanadio (III) y el aminoácido leucina,"Hernández, Daniel E.",1.12 MB,http://saber.ucv.ve/handle/10872/7761,http://saber.ucv.ve/bitstream/10872/7761/1/Tesis%20Daniel%20Hern%c3%a1ndez.pdf,,thesis_pdf_all/2845.pdf,True,True,False,escuela de quimica,Escuela de Química,Felipe Brito Rodriguez
